Le'Veon Bell ,@NE,13,0,0,0,1165,10,600,3,0,0,1,252.5,0,176,78,-1,253
Adrian Peterson ,@SF,16,0,0,0,1370,13,216,2,0,1,2,246.6,0,215,33,0,248
Jamaal Charles ,@HOU,16,0,0,0,1230,10,405,4,0,1,2,245.5,0,183,64,0,247
Eddie Lacy ,@CHI,16,0,0,0,1342,10,400,2,0,0,1,244.2,0,194,52,-1,245
Marshawn Lynch ,@STL,16,0,0,0,1204,11,245,1,0,0,1,214.9,0,186,30,-1,215
Matt Forte ,GB,16,0,0,0,1000,7,522,3,0,0,1,210.2,0,142,70,-1,211
C.J. Anderson ,BAL,16,0,0,0,1079,9,316,2,0,1,0,207.5,0,161,43,2,206
Jeremy Hill ,@OAK,16,0,0,0,1255,9,231,1,0,1,2,206.6,0,179,29,0,208
LeSean McCoy ,IND,16,0,0,0,1183,8,231,2,0,1,2,199.4,0,166,35,0,201
DeMarco Murray ,@ATL,16,0,0,0,1157,9,257,1,0,0,2,197.4,0,169,31,-2,198
Mark Ingram ,@ARI,16,0,0,0,1201,9,166,1,0,0,1,194.7,0,174,22,-1,195
Frank Gore ,@BUF,15,0,0,0,1057,9,219,2,0,0,0,193.6,0,159,33,0,192
Justin Forsett ,@DEN,16,0,0,0,1098,7,282,2,0,1,1,192,0,151,40,1,192
Alfred Morris ,MIA,16,0,0,0,1249,8,135,0,0,1,1,186.4,0,172,13,1,186
Lamar Miller ,@WAS,16,0,0,0,1157,7,238,1,0,0,2,183.5,0,157,29,-2,184
Carlos Hyde ,MIN,16,0,0,0,1136,7,172,1,0,1,2,176.8,0,155,23,0,178
Melvin Gordon ,DET,16,0,0,0,1147,7,153,1,0,0,1,176,0,156,21,-1,176
Latavius Murray ,CIN,16,0,0,0,1040,8,153,1,0,0,1,171.3,0,152,21,-1,172
Jonathan Stewart ,@JAC,14,0,0,0,1120,5,241,1,0,1,2,170.1,0,142,30,0,172
T.J. Yeldon ,CAR,16,0,0,0,965,8,205,1,0,1,2,169,0,144,26,0,170
Andre Ellington ,NO,16,0,0,0,861,6,359,1,0,0,1,162,0,122,41,-1,162
Todd Gurley ,SEA,12,0,0,0,845,7,182,1,0,1,1,150.7,0,126,24,1,151
Joseph Randle ,NYG,16,0,0,0,852,7,131,1,0,0,0,146.3,0,127,19,0,146
